timestamp,BTCUSDT,ETHUSDT
2021-03-18,57648.16000000,1776.08000000
2021-03-19,58030.01000000,1809.10000000
2021-03-20,58102.28000000,1806.10000000
2021-03-21,57351.56000000,1782.98000000
2021-03-22,54083.25000000,1680.97000000
2021-03-23,54340.89000000,1668.08000000
2021-03-24,52303.65000000,1581.84000000
2021-03-25,51293.78000000,1585.74000000
2021-03-26,55025.59000000,1698.84000000
2021-03-27,55817.14000000,1712.63000000
2021-03-28,55777.63000000,1687.01000000
2021-03-29,57635.47000000,1816.74000000
2021-03-30,58746.57000000,1840.46000000
2021-03-31,58740.55000000,1919.37000000
2021-04-01,58720.44000000,1968.05000000
2021-04-02,58950.01000000,2133.69000000
2021-04-03,57051.94000000,2008.52000000
2021-04-04,58202.01000000,2075.69000000
2021-04-05,59129.99000000,2107.38000000
2021-04-06,57991.15000000,2112.21000000
2021-04-07,55953.45000000,1963.47000000
2021-04-08,58077.52000000,2080.46000000
2021-04-09,58142.54000000,2066.87000000
2021-04-10,59769.13000000,2133.49000000
2021-04-11,60002.43000000,2151.36000000
2021-04-12,59860.00000000,2137.69000000
2021-04-13,63575.00000000,2299.19000000
2021-04-14,62959.53000000,2432.60000000
2021-04-15,63159.98000000,2514.04000000
2021-04-16,61334.80000000,2422.67000000
2021-04-17,60006.66000000,2317.60000000
2021-04-18,56150.01000000,2235.64000000
2021-04-19,55633.14000000,2161.12000000
2021-04-20,56425.00000000,2330.03000000
2021-04-21,53787.63000000,2357.06000000
2021-04-22,51690.96000000,2397.94000000
2021-04-23,51125.14000000,2367.39000000
2021-04-24,50047.84000000,2213.35000000
2021-04-25,49066.77000000,2320.49000000
2021-04-26,54001.39000000,2532.60000000
2021-04-27,55011.97000000,2666.13000000
2021-04-28,54846.22000000,2748.24000000
2021-04-29,53555.00000000,2757.04000000
2021-04-30,57694.27000000,2772.42000000
2021-05-01,57800.37000000,2944.77000000
2021-05-02,56578.21000000,2949.56000000
2021-05-03,57169.39000000,3431.04000000
2021-05-04,53200.01000000,3239.01000000
2021-05-05,57436.11000000,3524.26000000
2021-05-06,56393.68000000,3489.73000000
2021-05-07,57314.75000000,3479.53000000
2021-05-08,58862.05000000,3910.26000000
2021-05-09,58240.84000000,3923.95000000
2021-05-10,55816.14000000,3945.88000000
2021-05-11,56670.02000000,4173.45000000
2021-05-12,49631.32000000,3823.21000000
2021-05-13,49670.97000000,3717.91000000
2021-05-14,49841.45000000,4075.01000000
2021-05-15,46762.99000000,3646.68000000
2021-05-16,46431.50000000,3582.10000000
2021-05-17,43538.04000000,3282.51000000
2021-05-18,42849.78000000,3375.07000000
2021-05-19,36690.09000000,2438.92000000
2021-05-20,40526.64000000,2768.62000000
2021-05-21,37252.01000000,2430.98000000
2021-05-22,37449.73000000,2294.87000000
2021-05-23,34655.25000000,2096.39000000
2021-05-24,38796.29000000,2648.43000000
2021-05-25,38324.72000000,2705.11000000
2021-05-26,39241.91000000,2884.94000000
2021-05-27,38529.98000000,2742.23000000
2021-05-28,35663.49000000,2412.10000000
2021-05-29,34605.15000000,2278.74000000
2021-05-30,35641.27000000,2385.98000000
2021-05-31,37253.81000000,2706.15000000
2021-06-01,36693.09000000,2634.57000000
2021-06-02,37568.68000000,2706.22000000
2021-06-03,39246.79000000,2857.25000000
2021-06-04,36829.00000000,2689.51000000
2021-06-05,35513.20000000,2627.73000000
2021-06-06,35796.31000000,2711.92000000
2021-06-07,33552.79000000,2592.05000000
2021-06-08,33380.81000000,2507.23000000
2021-06-09,37388.05000000,2610.18000000
2021-06-10,36675.72000000,2471.09000000
2021-06-11,37331.98000000,2354.01000000
2021-06-12,35546.11000000,2370.74000000
2021-06-13,39020.57000000,2509.33000000
2021-06-14,40516.29000000,2580.77000000
2021-06-15,40144.04000000,2543.54000000
2021-06-16,38349.01000000,2367.89000000
2021-06-17,38092.97000000,2373.28000000
2021-06-18,35819.84000000,2234.09000000
2021-06-19,35483.72000000,2164.67000000
2021-06-20,35600.16000000,2243.47000000
2021-06-21,31608.93000000,1885.49000000
2021-06-22,32509.56000000,1879.28000000
2021-06-23,33678.07000000,1968.14000000
2021-06-24,34663.09000000,1989.52000000
2021-06-25,31584.45000000,1808.82000000
2021-06-26,32283.65000000,1829.64000000
2021-06-27,34700.34000000,1982.28000000
2021-06-28,34494.89000000,2084.41000000
2021-06-29,35911.73000000,2165.33000000
2021-06-30,35045.00000000,2275.68000000
2021-07-01,33504.69000000,2106.41000000
2021-07-02,33786.55000000,2154.13000000
2021-07-03,34669.13000000,2226.99000000
2021-07-04,35286.51000000,2322.69000000
2021-07-05,33690.14000000,2196.53000000
2021-07-06,34220.01000000,2322.50000000
2021-07-07,33862.12000000,2316.57000000
2021-07-08,32875.71000000,2116.33000000
2021-07-09,33815.81000000,2146.99000000
2021-07-10,33502.87000000,2110.69000000
2021-07-11,34258.99000000,2140.45000000
2021-07-12,33086.63000000,2031.58000000
2021-07-13,32729.77000000,1940.15000000
2021-07-14,32820.02000000,1994.58000000
2021-07-15,31880.00000000,1919.51000000
2021-07-16,31383.87000000,1876.26000000
2021-07-17,31520.07000000,1899.59000000
2021-07-18,31778.56000000,1891.64000000
2021-07-19,30839.65000000,1818.73000000
2021-07-20,29790.35000000,1786.03000000
2021-07-21,32144.51000000,1995.50000000
2021-07-22,32287.83000000,2024.56000000
2021-07-23,33634.09000000,2124.25000000
2021-07-24,34258.14000000,2184.75000000
2021-07-25,35381.02000000,2189.79000000
2021-07-26,37237.60000000,2228.08000000
2021-07-27,39457.87000000,2299.49000000
2021-07-28,40019.56000000,2300.90000000
2021-07-29,40016.48000000,2382.92000000
2021-07-30,42206.37000000,2461.81000000
2021-07-31,41461.83000000,2531.05000000
2021-08-01,39845.44000000,2555.69000000
2021-08-02,39147.82000000,2606.93000000
2021-08-03,38207.05000000,2509.04000000
2021-08-04,39723.18000000,2724.78000000
2021-08-05,40862.46000000,2826.99000000
2021-08-06,42836.87000000,2891.58000000
2021-08-07,44572.54000000,3160.31000000
2021-08-08,43794.37000000,3011.85000000
2021-08-09,46253.40000000,3160.52000000
2021-08-10,45584.99000000,3141.66000000
2021-08-11,45511.00000000,3160.50000000
2021-08-12,44399.00000000,3045.96000000
2021-08-13,47800.00000000,3322.32000000
2021-08-14,47068.51000000,3263.16000000
2021-08-15,46973.82000000,3307.09000000
2021-08-16,45901.29000000,3146.53000000
2021-08-17,44695.95000000,3011.72000000
2021-08-18,44705.29000000,3014.55000000
2021-08-19,46760.62000000,3184.12000000
2021-08-20,49322.47000000,3284.82000000
2021-08-21,48821.87000000,3223.43000000
2021-08-22,49239.22000000,3238.00000000
2021-08-23,49488.85000000,3321.28000000
2021-08-24,47674.01000000,3170.62000000
2021-08-25,48973.32000000,3226.87000000
2021-08-26,46843.87000000,3093.20000000
2021-08-27,49069.90000000,3273.45000000
2021-08-28,48895.35000000,3244.48000000
2021-08-29,48767.83000000,3223.47000000
2021-08-30,46982.91000000,3229.64000000
2021-08-31,47100.89000000,3429.20000000
2021-09-01,48810.52000000,3826.82000000
2021-09-02,49246.64000000,3785.82000000
2021-09-03,49999.14000000,3938.11000000
2021-09-04,49915.64000000,3885.52000000
2021-09-05,51756.88000000,3950.29000000
2021-09-06,52663.90000000,3926.77000000
2021-09-07,46863.73000000,3434.57000000
2021-09-08,46048.31000000,3499.00000000
2021-09-09,46395.14000000,3424.93000000
2021-09-10,44850.91000000,3208.86000000
2021-09-11,45173.69000000,3267.21000000
2021-09-12,46025.24000000,3404.21000000
2021-09-13,44940.73000000,3285.35000000
2021-09-14,47111.52000000,3434.37000000
2021-09-15,48121.41000000,3613.55000000
2021-09-16,47737.82000000,3567.98000000
2021-09-17,47299.98000000,3399.81000000
2021-09-18,48292.74000000,3435.64000000
2021-09-19,47241.75000000,3328.62000000
2021-09-20,43015.62000000,2977.28000000
2021-09-21,40734.38000000,2765.90000000
2021-09-22,43543.61000000,3076.92000000
2021-09-23,44865.26000000,3152.50000000
2021-09-24,42810.57000000,2928.53000000
2021-09-25,42670.64000000,2921.73000000
2021-09-26,43160.90000000,3059.37000000
2021-09-27,42147.35000000,2925.59000000
2021-09-28,41026.54000000,2804.91000000
2021-09-29,41524.28000000,2850.45000000
2021-09-30,43824.10000000,3000.61000000
2021-10-01,48141.61000000,3309.91000000
2021-10-02,47634.90000000,3387.76000000
2021-10-03,48200.01000000,3417.73000000
2021-10-04,49224.94000000,3386.31000000
2021-10-05,51471.99000000,3515.27000000
2021-10-06,55315.00000000,3574.89000000
2021-10-07,53785.22000000,3587.47000000
2021-10-08,53951.43000000,3563.13000000
2021-10-09,54949.72000000,3574.82000000
2021-10-10,54659.00000000,3414.22000000
2021-10-11,57471.35000000,3542.12000000
2021-10-12,55996.93000000,3491.46000000
2021-10-13,57367.00000000,3607.42000000
2021-10-14,57347.94000000,3790.82000000
2021-10-15,61672.42000000,3868.99000000
2021-10-16,60875.57000000,3829.96000000
2021-10-17,61528.33000000,3846.85000000
2021-10-18,62009.84000000,3744.96000000
2021-10-19,64280.59000000,3877.03000000
2021-10-20,66001.41000000,4161.15000000
2021-10-21,62193.15000000,4052.99000000
2021-10-22,60688.22000000,3972.20000000
2021-10-23,61286.75000000,4167.12000000
2021-10-24,60852.22000000,4082.33000000
2021-10-25,63078.78000000,4220.37000000
2021-10-26,60328.81000000,4131.52000000
2021-10-27,58413.44000000,3922.00000000
2021-10-28,60575.89000000,4286.02000000
2021-10-29,62253.71000000,4418.89000000
2021-10-30,61859.19000000,4322.68000000
2021-10-31,61299.80000000,4287.21000000
2021-11-01,60911.11000000,4319.43000000
2021-11-02,63219.99000000,4589.89000000
2021-11-03,62896.48000000,4603.35000000
2021-11-04,61395.01000000,4532.32000000
2021-11-05,60937.12000000,4474.24000000
2021-11-06,61470.61000000,4518.00000000
2021-11-07,63273.59000000,4612.59000000
2021-11-08,67525.83000000,4807.98000000
2021-11-09,66947.66000000,4732.33000000
2021-11-10,64882.43000000,4628.78000000
2021-11-11,64774.26000000,4719.00000000
2021-11-12,64122.23000000,4665.46000000
2021-11-13,64380.00000000,4644.28000000
2021-11-14,65519.10000000,4626.50000000
2021-11-15,63606.74000000,4563.78000000
2021-11-16,60058.87000000,4209.76000000
2021-11-17,60344.87000000,4287.80000000
2021-11-18,56891.62000000,3996.90000000
2021-11-19,58052.24000000,4294.76000000
2021-11-20,59707.51000000,4412.17000000
2021-11-21,58622.02000000,4258.31000000
2021-11-22,56247.18000000,4085.97000000
2021-11-23,57541.27000000,4339.44000000
2021-11-24,57138.29000000,4269.36000000
2021-11-25,58960.36000000,4524.85000000
2021-11-26,53726.53000000,4041.20000000
2021-11-27,54721.03000000,4095.29000000
2021-11-28,57274.88000000,4294.78000000
2021-11-29,57776.25000000,4444.53000000
2021-11-30,56950.56000000,4630.26000000
2021-12-01,57184.07000000,4582.95000000
2021-12-02,56480.34000000,4511.21000000
2021-12-03,53601.05000000,4215.73000000
2021-12-04,49152.47000000,4117.25000000
2021-12-05,49396.33000000,4196.44000000
2021-12-06,50441.92000000,4347.59000000
2021-12-07,50588.95000000,4306.40000000
2021-12-08,50471.19000000,4436.91000000
2021-12-09,47545.59000000,4105.64000000
2021-12-10,47140.54000000,3897.94000000
2021-12-11,49389.99000000,4089.37000000
2021-12-12,50053.90000000,4130.00000000
2021-12-13,46702.75000000,3781.93000000
2021-12-14,48343.28000000,3858.99000000
2021-12-15,48864.98000000,4019.08000000
2021-12-16,47632.38000000,3958.11000000
2021-12-17,46131.20000000,3875.42000000
2021-12-18,46834.48000000,3959.93000000
2021-12-19,46681.23000000,3924.14000000
2021-12-20,46914.16000000,3944.73000000
2021-12-21,48889.88000000,4014.15000000
2021-12-22,48588.16000000,3979.51000000
2021-12-23,50838.81000000,4111.41000000
2021-12-24,50820.00000000,4046.36000000
2021-12-25,50399.66000000,4094.83000000
2021-12-26,50775.49000000,4063.56000000
2021-12-27,50701.44000000,4037.23000000
2021-12-28,47543.74000000,3792.75000000
2021-12-29,46464.66000000,3630.19000000
2021-12-30,47120.87000000,3709.27000000
2021-12-31,46216.93000000,3676.23000000
2022-01-01,47722.65000000,3765.54000000
2022-01-02,47286.18000000,3828.27000000
2022-01-03,46446.10000000,3765.89000000
2022-01-04,45832.01000000,3785.11000000
2022-01-05,43451.13000000,3540.63000000
2022-01-06,43082.31000000,3406.81000000
2022-01-07,41566.48000000,3199.24000000
2022-01-08,41679.74000000,3080.95000000
2022-01-09,41864.62000000,3151.97000000
2022-01-10,41822.49000000,3082.68000000
2022-01-11,42729.29000000,3239.72000000
2022-01-12,43902.66000000,3371.26000000
2022-01-13,42560.11000000,3240.61000000
2022-01-14,43059.96000000,3307.42000000
2022-01-15,43084.29000000,3326.04000000
2022-01-16,43071.66000000,3346.88000000
2022-01-17,42201.62000000,3209.67000000
2022-01-18,42352.12000000,3159.85000000
2022-01-19,41660.01000000,3084.02000000
2022-01-20,40680.91000000,3001.48000000
2022-01-21,36445.31000000,2568.15000000
2022-01-22,35071.42000000,2412.18000000
2022-01-23,36244.55000000,2539.01000000
2022-01-24,36660.35000000,2439.29000000
2022-01-25,36958.32000000,2458.83000000
2022-01-26,36809.34000000,2462.99000000
2022-01-27,37160.10000000,2424.25000000
2022-01-28,37716.56000000,2544.99000000
2022-01-29,38166.84000000,2601.43000000
2022-01-30,37881.76000000,2601.68000000
2022-01-31,38466.90000000,2686.94000000
2022-02-01,38694.59000000,2787.23000000
2022-02-02,36896.36000000,2680.67000000
2022-02-03,37311.61000000,2695.46000000
2022-02-04,41574.25000000,2994.99000000
2022-02-05,41382.59000000,3012.65000000
2022-02-06,42380.87000000,3054.99000000
2022-02-07,43839.99000000,3139.77000000
2022-02-08,44042.99000000,3116.69000000
2022-02-09,44372.72000000,3243.94000000
2022-02-10,43495.44000000,3072.49000000
2022-02-11,42373.73000000,2927.54000000
2022-02-12,42217.87000000,2918.88000000
2022-02-13,42053.66000000,2871.13000000
2022-02-14,42535.94000000,2929.75000000
2022-02-15,44544.86000000,3183.52000000
2022-02-16,43873.56000000,3122.30000000
2022-02-17,40515.70000000,2891.87000000
2022-02-18,39974.44000000,2779.48000000
2022-02-19,40079.17000000,2763.63000000
2022-02-20,38386.89000000,2621.99000000
2022-02-21,37008.16000000,2568.02000000
2022-02-22,38230.33000000,2636.29000000
2022-02-23,37250.01000000,2579.71000000
2022-02-24,38327.21000000,2596.20000000
2022-02-25,39219.17000000,2768.49000000
2022-02-26,39116.72000000,2779.47000000
2022-02-27,37699.07000000,2616.79000000
2022-02-28,43160.00000000,2920.95000000
2022-03-01,44421.20000000,2976.33000000
2022-03-02,43892.98000000,2947.30000000
2022-03-03,42454.00000000,2833.99000000
2022-03-04,39148.66000000,2622.10000000
2022-03-05,39397.96000000,2665.15000000
2022-03-06,38420.81000000,2551.29000000
2022-03-07,37988.00000000,2491.12000000
2022-03-08,38730.63000000,2575.97000000
2022-03-09,41941.71000000,2726.98000000
2022-03-10,39422.00000000,2606.70000000
2022-03-11,38729.57000000,2556.86000000
2022-03-12,38807.36000000,2568.80000000
2022-03-13,37777.34000000,2515.65000000
2022-03-14,39671.37000000,2589.41000000
2022-03-15,39280.33000000,2617.73000000
2022-03-16,41114.00000000,2773.81000000
2022-03-17,40917.90000000,2811.92000000
2022-03-18,41757.51000000,2938.92000000
2022-03-19,42201.13000000,2950.84000000
2022-03-20,41262.11000000,2861.38000000
2022-03-21,41002.25000000,2890.03000000
2022-03-22,42364.13000000,2969.64000000
2022-03-23,42882.76000000,3036.00000000
2022-03-24,43991.46000000,3110.76000000
2022-03-25,44313.16000000,3102.14000000
2022-03-26,44511.27000000,3145.00000000
2022-03-27,46827.76000000,3295.65000000
2022-03-28,47122.21000000,3332.92000000
2022-03-29,47434.80000000,3400.51000000
2022-03-30,47067.99000000,3385.79000000
2022-03-31,45510.34000000,3281.51000000
2022-04-01,46283.49000000,3455.21000000
2022-04-02,45811.00000000,3443.77000000
2022-04-03,46407.35000000,3521.91000000
2022-04-04,46580.51000000,3519.50000000
2022-04-05,45497.55000000,3406.99000000
2022-04-06,43170.47000000,3168.51000000
2022-04-07,43444.19000000,3227.19000000
2022-04-08,42252.01000000,3192.39000000
2022-04-09,42753.97000000,3258.57000000
2022-04-10,42158.85000000,3203.04000000
2022-04-11,39530.45000000,2979.74000000
2022-04-12,40074.94000000,3027.66000000
2022-04-13,41147.79000000,3118.28000000
2022-04-14,39942.38000000,3021.98000000
2022-04-15,40551.90000000,3040.56000000
2022-04-16,40378.71000000,3059.30000000
2022-04-17,39678.12000000,2988.06000000
2022-04-18,40801.13000000,3055.56000000
2022-04-19,41493.18000000,3101.77000000
2022-04-20,41358.19000000,3076.04000000
2022-04-21,40480.01000000,2983.58000000
2022-04-22,39709.18000000,2962.39000000
2022-04-23,39441.60000000,2933.03000000
2022-04-24,39450.13000000,2921.00000000
2022-04-25,40426.08000000,3006.62000000
2022-04-26,38112.65000000,2809.67000000
2022-04-27,39235.72000000,2888.96000000
2022-04-28,39742.07000000,2936.93000000
2022-04-29,38596.11000000,2817.13000000
2022-04-30,37630.80000000,2726.66000000
2022-05-01,38468.35000000,2824.81000000
2022-05-02,38525.16000000,2856.54000000
2022-05-03,37728.95000000,2781.70000000
2022-05-04,39690.00000000,2940.64000000
2022-05-05,36552.97000000,2747.97000000
2022-05-06,36013.77000000,2692.85000000
2022-05-07,35472.39000000,2635.34000000
2022-05-08,34038.40000000,2519.71000000
2022-05-09,30076.31000000,2228.55000000
2022-05-10,31017.10000000,2342.05000000
2022-05-11,29103.94000000,2084.99000000
2022-05-12,29029.75000000,1960.22000000
2022-05-13,29287.05000000,2009.69000000
2022-05-14,30086.74000000,2056.48000000
2022-05-15,31328.89000000,2145.29000000
2022-05-16,29874.01000000,2023.66000000
2022-05-17,30444.93000000,2090.72000000
2022-05-18,28715.32000000,1915.11000000
2022-05-19,30319.23000000,2019.55000000
2022-05-20,29201.01000000,1959.08000000
2022-05-21,29445.06000000,1975.07000000
2022-05-22,30293.94000000,2043.19000000
2022-05-23,29109.15000000,1973.32000000
2022-05-24,29654.58000000,1979.41000000
2022-05-25,29542.15000000,1942.63000000
2022-05-26,29201.35000000,1792.23000000
2022-05-27,28629.80000000,1727.27000000
2022-05-28,29031.33000000,1792.22000000
2022-05-29,29468.10000000,1813.64000000
2022-05-30,31734.22000000,1998.78000000
2022-05-31,31801.04000000,1941.90000000
2022-06-01,29805.83000000,1817.95000000
2022-06-02,30452.62000000,1834.08000000
2022-06-03,29700.21000000,1775.12000000
2022-06-04,29864.04000000,1804.58000000
2022-06-05,29919.21000000,1806.23000000
2022-06-06,31373.10000000,1859.84000000
2022-06-07,31125.33000000,1813.33000000
2022-06-08,30204.77000000,1791.88000000
2022-06-09,30109.93000000,1788.81000000
2022-06-10,29091.88000000,1662.91000000
2022-06-11,28424.70000000,1532.89000000
2022-06-12,26574.53000000,1434.84000000
2022-06-13,22487.41000000,1209.82000000
2022-06-14,22136.41000000,1208.90000000
2022-06-15,22583.72000000,1237.52000000
2022-06-16,20401.31000000,1068.50000000
2022-06-17,20468.81000000,1086.94000000
2022-06-18,18970.79000000,995.13000000
2022-06-19,20574.00000000,1128.53000000
2022-06-20,20573.89000000,1128.24000000
2022-06-21,20723.52000000,1125.85000000
2022-06-22,19987.99000000,1050.19000000
2022-06-23,21110.13000000,1144.72000000
2022-06-24,21237.69000000,1225.02000000
2022-06-25,21491.19000000,1242.36000000
2022-06-26,21038.07000000,1197.79000000
2022-06-27,20742.56000000,1192.51000000
2022-06-28,20281.29000000,1144.05000000
2022-06-29,20123.01000000,1100.21000000
2022-06-30,19942.21000000,1071.01000000
2022-07-01,19279.80000000,1059.73000000
2022-07-02,19252.81000000,1067.01000000
2022-07-03,19315.83000000,1074.26000000
2022-07-04,20236.71000000,1151.00000000
2022-07-05,20175.83000000,1132.50000000
2022-07-06,20564.51000000,1186.57000000
2022-07-07,21624.98000000,1237.49000000
2022-07-08,21594.75000000,1214.04000000
2022-07-09,21591.83000000,1217.02000000
2022-07-10,20862.47000000,1168.36000000
2022-07-11,19963.61000000,1096.40000000
2022-07-12,19328.75000000,1038.58000000
2022-07-13,20234.87000000,1115.00000000
2022-07-14,20588.84000000,1193.42000000
2022-07-15,20830.04000000,1231.25000000
2022-07-16,21195.60000000,1355.85000000
2022-07-17,20798.16000000,1338.65000000
2022-07-18,22432.58000000,1581.04000000
2022-07-19,23396.62000000,1542.32000000
2022-07-20,23223.30000000,1521.58000000
2022-07-21,23152.19000000,1575.45000000
2022-07-22,22684.83000000,1535.27000000
2022-07-23,22451.07000000,1548.67000000
2022-07-24,22579.68000000,1597.70000000
2022-07-25,21310.90000000,1440.79000000
2022-07-26,21254.67000000,1449.12000000
2022-07-27,22952.45000000,1635.74000000
2022-07-28,23842.93000000,1724.52000000
2022-07-29,23773.75000000,1721.68000000
2022-07-30,23643.51000000,1697.00000000
2022-07-31,23293.32000000,1678.12000000
2022-08-01,23268.01000000,1630.28000000
2022-08-02,22987.79000000,1630.91000000
2022-08-03,22818.37000000,1618.16000000
2022-08-04,22622.98000000,1607.96000000
2022-08-05,23312.42000000,1736.81000000
2022-08-06,22954.21000000,1690.60000000
2022-08-07,23174.39000000,1700.19000000
2022-08-08,23810.00000000,1777.05000000
2022-08-09,23149.95000000,1702.76000000
2022-08-10,23954.05000000,1853.57000000
2022-08-11,23934.39000000,1880.19000000
2022-08-12,24403.68000000,1958.28000000
2022-08-13,24441.38000000,1983.55000000
2022-08-14,24305.24000000,1935.31000000
2022-08-15,24094.82000000,1899.06000000
2022-08-16,23854.74000000,1876.67000000
2022-08-17,23342.66000000,1834.25000000
2022-08-18,23191.20000000,1846.39000000
2022-08-19,20834.39000000,1609.01000000
2022-08-20,21140.07000000,1576.04000000
2022-08-21,21515.61000000,1618.13000000
2022-08-22,21399.83000000,1624.66000000
2022-08-23,21529.12000000,1665.41000000
2022-08-24,21368.08000000,1656.56000000
2022-08-25,21559.04000000,1695.11000000
2022-08-26,20241.05000000,1508.18000000
2022-08-27,20037.60000000,1491.06000000
2022-08-28,19555.61000000,1426.76000000
2022-08-29,20285.73000000,1551.80000000
2022-08-30,19811.66000000,1524.59000000
2022-08-31,20050.02000000,1554.10000000
2022-09-01,20131.46000000,1586.16000000
2022-09-02,19951.86000000,1575.35000000
2022-09-03,19831.90000000,1557.46000000
2022-09-04,20000.30000000,1579.28000000
2022-09-05,19796.84000000,1617.80000000
2022-09-06,18790.61000000,1559.01000000
2022-09-07,19292.84000000,1630.00000000
2022-09-08,19319.77000000,1635.37000000
2022-09-09,21360.11000000,1718.23000000
2022-09-10,21648.34000000,1774.12000000
2022-09-11,21826.87000000,1766.11000000
2022-09-12,22395.74000000,1716.37000000
2022-09-13,20173.57000000,1574.40000000
2022-09-14,20226.71000000,1638.39000000
2022-09-15,19701.88000000,1472.75000000
2022-09-16,19803.30000000,1433.90000000
2022-09-17,20113.62000000,1468.83000000
2022-09-18,19416.18000000,1334.51000000
2022-09-19,19537.02000000,1375.98000000
2022-09-20,18875.00000000,1322.93000000
2022-09-21,18461.36000000,1245.78000000
2022-09-22,19401.63000000,1326.46000000
2022-09-23,19289.91000000,1327.25000000
2022-09-24,18920.50000000,1317.13000000
2022-09-25,18807.38000000,1294.63000000
2022-09-26,19227.82000000,1336.17000000
2022-09-27,19079.13000000,1328.02000000
2022-09-28,19412.82000000,1337.20000000
2022-09-29,19591.51000000,1335.70000000
2022-09-30,19422.61000000,1328.72000000
2022-10-01,19310.95000000,1311.79000000
2022-10-02,19056.80000000,1276.72000000
2022-10-03,19629.08000000,1323.09000000
2022-10-04,20337.82000000,1361.49000000
2022-10-05,20158.26000000,1352.20000000
2022-10-06,19960.67000000,1352.06000000
2022-10-07,19530.09000000,1331.10000000
2022-10-08,19417.96000000,1315.48000000
2022-10-09,19439.02000000,1323.13000000
2022-10-10,19131.87000000,1290.03000000
2022-10-11,19060.00000000,1280.11000000
2022-10-12,19155.53000000,1294.44000000
2022-10-13,19375.13000000,1287.08000000
2022-10-14,19176.93000000,1296.27000000
2022-10-15,19069.39000000,1274.92000000
2022-10-16,19262.98000000,1305.95000000
2022-10-17,19549.86000000,1331.40000000
2022-10-18,19327.44000000,1310.71000000
2022-10-19,19123.97000000,1285.09000000
2022-10-20,19041.92000000,1282.57000000
2022-10-21,19164.37000000,1299.75000000
2022-10-22,19204.35000000,1313.61000000
2022-10-23,19570.40000000,1364.20000000
2022-10-24,19329.72000000,1343.61000000
2022-10-25,20080.07000000,1459.74000000
2022-10-26,20771.59000000,1566.10000000
2022-10-27,20295.11000000,1514.05000000
2022-10-28,20591.84000000,1554.41000000
2022-10-29,20809.67000000,1619.55000000
2022-10-30,20627.48000000,1590.44000000
2022-10-31,20490.74000000,1572.69000000
2022-11-01,20483.62000000,1578.48000000
2022-11-02,20151.84000000,1518.34000000
2022-11-03,20207.82000000,1531.01000000
2022-11-04,21148.52000000,1644.78000000
2022-11-05,21299.37000000,1626.98000000
2022-11-06,20905.58000000,1568.29000000
2022-11-07,20591.13000000,1568.10000000
2022-11-08,18547.23000000,1334.77000000
2022-11-09,15922.81000000,1102.73000000
2022-11-10,17601.15000000,1299.28000000
2022-11-11,17070.31000000,1289.28000000
2022-11-12,16812.08000000,1257.25000000
2022-11-13,16329.85000000,1221.49000000
2022-11-14,16619.46000000,1243.28000000
2022-11-15,16900.57000000,1253.23000000
2022-11-16,16662.76000000,1216.17000000
2022-11-17,16692.56000000,1200.43000000
2022-11-18,16700.45000000,1212.58000000
2022-11-19,16700.68000000,1217.67000000
2022-11-20,16280.23000000,1142.21000000
2022-11-21,15781.29000000,1107.34000000
2022-11-22,16226.94000000,1139.60000000
2022-11-23,16603.11000000,1184.52000000
2022-11-24,16598.95000000,1203.73000000
2022-11-25,16522.14000000,1199.30000000
2022-11-26,16458.57000000,1205.60000000
2022-11-27,16428.78000000,1193.88000000
2022-11-28,16212.91000000,1167.77000000
2022-11-29,16442.53000000,1216.49000000
2022-11-30,17163.64000000,1294.46000000
2022-12-01,16977.37000000,1276.41000000
2022-12-02,17092.74000000,1295.59000000
2022-12-03,16885.20000000,1240.51000000
2022-12-04,17105.70000000,1279.41000000
2022-12-05,16966.35000000,1259.41000000
2022-12-06,17088.96000000,1271.32000000
2022-12-07,16836.64000000,1231.18000000
2022-12-08,17224.10000000,1280.18000000
2022-12-09,17128.56000000,1263.10000000
2022-12-10,17127.49000000,1266.35000000
2022-12-11,17085.05000000,1263.01000000
2022-12-12,17209.83000000,1275.40000000
2022-12-13,17774.70000000,1320.69000000
2022-12-14,17803.15000000,1307.44000000
2022-12-15,17356.34000000,1266.54000000
2022-12-16,16632.12000000,1166.83000000
2022-12-17,16776.52000000,1187.16000000
2022-12-18,16738.21000000,1183.06000000
2022-12-19,16438.88000000,1167.82000000
2022-12-20,16895.56000000,1216.94000000
2022-12-21,16824.67000000,1213.78000000
2022-12-22,16821.43000000,1217.71000000
2022-12-23,16778.50000000,1219.99000000
2022-12-24,16836.12000000,1220.41000000
2022-12-25,16832.11000000,1218.51000000
2022-12-26,16919.39000000,1228.11000000
2022-12-27,16706.36000000,1211.55000000
2022-12-28,16547.31000000,1190.15000000
2022-12-29,16633.47000000,1200.49000000
